,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
71,18:45:00,Monday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
72,11:02:00,Thursday,Male,Office areas,Automobile,Undivided Two way,No junction,Earth roads,Dry,Daylight,Normal
73,11:02:00,Thursday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
74,11:02:00,Thursday,Male,Other,Bajaj,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
75,11:02:00,Thursday,Male,Office areas,Public (12 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
76,15:55:00,Tuesday,Male,Office areas,Lorry (11?40Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
79,20:00:00,Sunday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
80,18:48:00,Wednesday,Male, Industrial areas,Lorry (11?40Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
81,18:48:00,Wednesday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
82,15:55:00,Sunday,Male, Church areas,Pick up upto 10Q,Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
83,15:55:00,Sunday,Male,Office areas,Lorry (11?40Q),Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
84,23:25:00,Wednesday,Unknown,Office areas,Stationwagen,other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
85,23:25:00,Wednesday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
86,23:25:00,Wednesday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
87,7:40:00,Monday,Unknown,Residential areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
89,15:17:00,Sunday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
90,15:17:00,Sunday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Earth roads,Dry,Daylight,Normal
91,15:50:00,Monday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
92,15:50:00,Monday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
93,9:45:00,Sunday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
94,9:45:00,Sunday,Male, Church areas,Pick up upto 10Q,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
95,17:35:00,Thursday,Male,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Other,Dry,Daylight,Normal
96,17:35:00,Thursday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Dry,Daylight,Normal
97,17:35:00,Thursday,Male,Office areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Dry,Daylight,Normal
98,20:50:00,Sunday,Unknown,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
99,20:50:00,Sunday,Male, Church areas,Automobile,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
100,21:32:00,Thursday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Dry,Darkness - lights lit,Normal
102,19:55:00,Monday,Male,Other,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
103,19:55:00,Monday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
105,16:10:00,Monday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Daylight,Normal
106,15:25:00,Monday,Unknown, Church areas,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
107,23:36:00,Thursday,Male,Other,Other,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
108,23:36:00,Thursday,Male,Other,Public (12 seats),One way,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
109,23:36:00,Thursday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
110,23:36:00,Thursday,Male,Office areas,Other,One way,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
111,20:00:00,Monday,Male, Industrial areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal
112,20:00:00,Monday,Unknown,Residential areas,Other,Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal
113,20:00:00,Monday,Male,Office areas,Lorry (11?40Q),Unknown,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal
115,17:54:00,Friday,Male, Church areas,Other,other,Crossing,Asphalt roads,Dry,Daylight,Normal
117,17:00:00,Friday,Male,  Recreational areas,Pick up upto 10Q,One way,No junction,Asphalt roads,Dry,Daylight,Normal
118,1:15:00,Saturday,Female,  Market areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
119,1:15:00,Saturday,Unknown,Other,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
120,1:15:00,Saturday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
121,1:15:00,Saturday,Male, Industrial areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Darkness - lights lit,Normal
122,18:30:00,Wednesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
123,18:30:00,Wednesday,Male,Office areas,Pick up upto 10Q,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
125,15:52:00,Friday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
126,15:52:00,Friday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
127,12:33:00,Tuesday,Male,Other,Lorry (41?100Q),other,Other,Asphalt roads,Dry,Daylight,Normal
128,8:59:00,Monday,Unknown,Other,Pick up upto 10Q,other,Crossing,Asphalt roads,Dry,Daylight,Normal
129,8:59:00,Monday,Male,Other,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
130,17:25:00,Saturday,Male,Other,Lorry (41?100Q),other,No junction,Other,Wet or damp,Daylight,Normal
131,0:53:00,Sunday,Male,Residential areas,Ridden horse,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
132,0:53:00,Sunday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
133,0:53:00,Sunday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
134,15:20:00,Wednesday,Male, Church areas,Stationwagen,other,Crossing,Asphalt roads,Dry,Daylight,Normal
135,18:23:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
137,5:24:00,Friday,Male,School areas,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
138,12:15:00,Saturday,Unknown,Office areas,Long lorry,Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Daylight,Normal
139,22:15:00,Friday,Male,Other,Stationwagen,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
140,6:35:00,Friday,Male,Office areas,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
141,6:35:00,Friday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
142,17:34:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
143,17:34:00,Thursday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
144,4:00:00,Friday,Unknown,Other,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
145,4:00:00,Friday,Male, Church areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
146,4:00:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
147,4:00:00,Friday,Unknown,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
148,15:50:00,Saturday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
149,8:50:00,Friday,Male,Residential areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Raining
150,0:25:00,Sunday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
152,0:25:00,Sunday,Male,Other,Bajaj,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
154,0:10:00,Sunday,Male,School areas,Lorry (41?100Q),Double carriageway (median),No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy
155,15:20:00,Saturday,Female,Other,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Cloudy
157,15:20:00,Saturday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Cloudy
159,16:30:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
160,1:05:00,Friday,Male,Residential areas,Public (13?45 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
161,1:05:00,Friday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
162,19:40:00,Monday,Male,Office areas,Other,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
163,19:40:00,Monday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
165,19:08:00,Tuesday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
166,19:08:00,Tuesday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Gravel roads,Wet or damp,Darkness - lights lit,Normal
167,17:50:00,Saturday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
168,17:50:00,Saturday,Male,Office areas,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
169,21:30:00,Sunday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
170,21:30:00,Sunday,Unknown,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
171,14:49:00,Monday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
172,14:49:00,Monday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
173,14:49:00,Monday,Unknown,  Recreational areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
175,17:40:00,Sunday,Male, Industrial areas,Other,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
176,21:55:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
177,21:55:00,Saturday,Male,Other,Automobile,other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
178,7:30:00,Tuesday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
179,7:30:00,Tuesday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
180,10:41:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Other
181,13:16:00,Wednesday,Male,Other,Other,One way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
182,13:16:00,Wednesday,Male,  Recreational areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
183,13:16:00,Wednesday,Male,Other,Stationwagen,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
184,11:30:00,Thursday,Male,Office areas,Other,Undivided Two way,Y Shape,Other,Dry,Daylight,Normal
185,11:30:00,Thursday,Male, Church areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
186,16:20:00,Friday,Female,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
187,16:20:00,Friday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
188,16:20:00,Friday,Unknown,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
190,20:40:00,Monday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
191,20:40:00,Monday,Male,Residential areas,Automobile,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
192,17:50:00,Wednesday,Male,Residential areas,Turbo,Two-way (divided with broken lines road marking),No junction,Other,Wet or damp,Darkness - no lighting,Windy
194,17:50:00,Wednesday,Male, Hospital areas,Stationwagen,One way,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy
195,17:11:00,Wednesday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
196,21:03:00,Monday,Male,Other,Automobile,Undivided Two way,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
197,15:20:00,Monday,Male,  Recreational areas,Automobile,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
198,18:30:00,Monday,Female,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
199,8:15:00,Wednesday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
200,15:20:00,Tuesday,Female,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
202,18:17:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Other,Wet or damp,Darkness - lights lit,Raining
203,19:31:00,Wednesday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
204,19:31:00,Wednesday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
205,9:25:00,Friday,Unknown,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
206,9:25:00,Friday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
207,14:10:00,Wednesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads with some distress,Dry,Daylight,Normal
209,14:00:00,Friday,Male,Other,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
210,14:00:00,Friday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
211,22:05:00,Tuesday,Female,Residential areas,Public (13?45 seats),other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
212,22:05:00,Tuesday,Male, Industrial areas,Public (13?45 seats),One way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
213,7:00:00,Thursday,Male,Other,Automobile,Undivided Two way,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Windy
214,7:00:00,Thursday,Male,Residential areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy
215,7:35:00,Thursday,Male,  Recreational areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
216,7:35:00,Thursday,Unknown,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
217,8:43:00,Wednesday,Male, Outside rural areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
218,8:43:00,Wednesday,Male, Outside rural areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
219,16:05:00,Tuesday,Male, Outside rural areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
220,22:05:00,Friday,Male, Outside rural areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
221,22:05:00,Friday,Male, Outside rural areas,Pick up upto 10Q,other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
222,22:05:00,Friday,Male,School areas,Lorry (11?40Q),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
223,22:05:00,Friday,Male, Outside rural areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
224,3:40:00,Saturday,Male, Outside rural areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy
225,9:25:00,Tuesday,Male, Outside rural areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Dry,Daylight,Normal
226,9:25:00,Tuesday,Female, Outside rural areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
227,9:25:00,Tuesday,Female,Office areas,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
228,9:25:00,Tuesday,Female, Outside rural areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
229,9:25:00,Tuesday,Female, Outside rural areas,Taxi,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
230,9:25:00,Tuesday,Female, Outside rural areas,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
231,7:58:00,Thursday,Male,Office areas,Taxi,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
232,7:58:00,Thursday,Male,  Recreational areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
233,20:15:00,Tuesday,Unknown,Office areas,Automobile,Undivided Two way,O Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
234,20:15:00,Tuesday,Male,Other,Other,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
235,17:10:00,Tuesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
236,17:10:00,Tuesday,Unknown,Residential areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
237,17:10:00,Tuesday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
238,15:30:00,Saturday,Female,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
239,15:30:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
240,9:47:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
